sym,entry_ts,exit_ts,snet,entry_price
RESOLV-USDT,1749736800,1750341600,0.33120373073140363,0.3213
HOME-USDT,1749826800,1750431600,0.22765861266350024,0.02737
SPK-USDT,1750237200,1750842000,0.24055074695133793,0.051498
NEWT-USDT,1750860000,1751464800,0.10129111338054575,0.4801
SAHARA-USDT,1751025600,1751630400,-0.11174501086496874,0.08324
LA-USDT,1752163200,1752768000,0.12213930614789756,0.4138
TAC-USDT,1752660000,1753264800,0.28855182765237014,0.01772
ERA-USDT,1752850800,1753455600,-0.052878764245437124,1.4081
C-USDT,1752933600,1753538400,-0.24134026672382994,0.2799
TA-USDT,1753174800,1753779600,0.3875410561658938,0.11429
TREE-USDT,1753884000,1754488800,0.24747218834404255,0.5447
TOWNS-USDT,1754488800,1755093600,0.08609893694290979,0.03801
PROVE-USDT,1754499600,1755104400,-0.357352770770975,1.1025
PLUME-USDT,1755615600,1756220400,0.01595973976287831,0.08561
DOLO-USDT,1756396800,1757001600,0.2917781978636741,0.2406
MITO-USDT,1756566000,1757170800,-0.05932954255813949,0.2064
WLFI-USDT,1756818000,1757422800,0.0798332727858985,0.2326
SOMI-USDT,1756908000,1757512800,-1.2700461156532408,0.4891
OPEN-USDT,1757422800,1758027600,0.23628302724946693,1.1256
LINEA-USDT,1757606400,1758211200,-0.12375545896551736,0.0232
HOLO-USDT,1757678400,1758283200,0.17331597720251468,0.4454
PUMP-USDT,1757678400,1758283200,-0.18164702438082544,0.006008
ZKC-USDT,1758031200,1758636000,0.19517283440720049,0.8055
BARD-USDT,1758279600,1758884400,-0.21417900286604036,0.9473
0G-USDT,1758621600,1759226400,0.45033858162058776,5.751
HEMI-USDT,1758715200,1759320000,0.47578148431151246,0.1772
XPL-USDT,1758891600,1759496400,0.25513276578461275,1.2127
MIRA-USDT,1758974400,1759579200,0.5008115460813308,1.3525
XAN-USDT,1759226400,1759831200,0.3378012986602871,0.14839
NOM-USDT,1759392000,1759996800,0.27538676178217825,0.0404
2Z-USDT,1759496400,1760101200,0.35140632836178,0.52203
MORPHO-USDT,1759590000,1760194800,0.0903296829885057,1.827
ASTER-USDT,1759838400,1760443200,0.36398503153256706,2.088
WAL-USDT,1760166000,1760770800,0.1276677650597445,0.2427
EUL-USDT,1760450400,1761055200,0.09963948838097327,9.166
ENSO-USDT,1760518800,1761123600,0.3517993334362307,2.462
YB-USDT,1760612400,1761217200,0.21983330254323497,0.5898
ZBT-USDT,1760792400,1761397200,0.1941807617270788,0.3752
TURTLE-USDT,1761231600,1761836400,0.34269503078534036,0.191
F-USDT,1761458400,1762063200,0.2537788402708803,0.02215
GIGGLE-USDT,1761458400,1762063200,0.6133344909095532,235.94
KITE-USDT,1762261200,1762866000,-0.22605086148040637,0.0689
MMT-USDT,1762344000,1762948800,0.5491427156272463,1.1686
SAPIEN-USDT,1762509600,1763114400,0.3473273114814815,0.27
CC-USDT,1762844400,1763449200,0.05013073822126195,0.11109
ALLO-USDT,1762956000,1763560800,0.5379091891198785,0.3954
BANK-USDT,1763128800,1763733600,0.059929146175298854,0.0502
MET-USDT,1763128800,1763733600,0.29407792167766655,0.4697
MON-USDT,1764082800,1764687600,0.20481473694806795,0.04063
AT-USDT,1764338400,1764943200,0.3403084034463277,0.2124
WET-USDT,1765378800,1765983600,0.13122453001019735,0.27458
BREV-USDT,1767794400,1768399200,0.17611269025361562,0.4771
ZKP-USDT,1767880800,1768485600,0.1580713461971831,0.1704
FOGO-USDT,1768572000,1769176800,0.1465465078132679,0.0407
LIT-USDT,1768572000,1769176800,0.11236144137805511,1.923
FIGHT-USDT,1769173200,1769778000,0.43435364866777876,0.022181
SENT-USDT,1769173200,1769778000,-0.5810902307414519,0.02603
BIRB-USDT,1769691600,1770296400,0.09496464963965359,0.32219
ZAMA-USDT,1770123600,1770728400,0.15677366245665683,0.03057
AZTEC-USDT,1770966000,1771570800,-0.6437580964344469,0.021761
ESP-USDT,1770987600,1771592400,-0.18662412180887383,0.0586
MANTRA-USDT,1772697600,1773302400,0.16805484363636358,0.022
ROBO-USDT,1772726400,1773331200,-0.038071976005788766,0.04146
OPN-USDT,1772802000,1773406800,0.07960172600537792,0.3347
NIGHT-USDT,1773327600,1773932400,0.06304630694565905,0.04803
CFG-USDT,1773752400,1774357200,0.040267050410192545,0.1609
KAT-USDT,1773925200,1774530000,-0.38748395966118093,0.01033
BASED-USDT,1774951200,1775556000,0.4734739295717838,0.10859
BZ-USDTUSDT,1775120400,1775725200,0.10235452364441167,108.44
CHIP-USDT,1776862800,1777467600,0.27863184249477646,0.09572
MEGA-USDT,1777633200,1778238000,0.1644560153303204,0.15046
