timestamp,close
2023-06-01,20.51
2023-06-02,21.26
2023-06-03,21.2
2023-06-04,21.82
2023-06-05,20.02
2023-06-06,20.39
2023-06-07,18.63
2023-06-08,18.88
2023-06-09,17.4
2023-06-10,15.64
2023-06-11,15.56
2023-06-12,15.19
2023-06-13,15.03
2023-06-14,14.48
2023-06-15,14.75
2023-06-16,15.32
2023-06-17,15.65
2023-06-18,15.43
2023-06-19,16.11
2023-06-20,16.66
2023-06-21,17.22
2023-06-22,16.63
2023-06-23,17.14
2023-06-24,16.65
2023-06-25,16.97
2023-06-26,16.28
2023-06-27,16.63
2023-06-28,15.98
2023-06-29,17.99
2023-06-30,18.85
2023-07-01,18.7
2023-07-02,19.46
2023-07-03,19.27
2023-07-04,19.15
2023-07-05,19.0
2023-07-06,19.6
2023-07-07,21.51
2023-07-08,21.84
2023-07-09,21.33
2023-07-10,21.3
2023-07-11,22.07
2023-07-12,21.93
2023-07-13,26.03
2023-07-14,26.7
2023-07-15,27.47
2023-07-16,27.43
2023-07-17,26.81
2023-07-18,25.56
2023-07-19,26.3
2023-07-20,25.37
2023-07-21,25.52
2023-07-22,24.54
2023-07-23,24.77
2023-07-24,23.37
2023-07-25,23.28
2023-07-26,25.18
2023-07-27,25.1
2023-07-28,24.81
2023-07-29,25.17
2023-07-30,24.25
2023-07-31,23.73
2023-08-01,24.05
2023-08-02,23.14
2023-08-03,22.62
2023-08-04,22.77
2023-08-05,22.65
2023-08-06,23.17
2023-08-07,23.11
2023-08-08,24.21
2023-08-09,24.37
2023-08-10,24.6
2023-08-11,24.61
2023-08-12,24.91
2023-08-13,24.21
2023-08-14,25.18
2023-08-15,23.87
2023-08-16,22.79
2023-08-17,21.68
2023-08-18,21.33
2023-08-19,21.89
2023-08-20,21.78
2023-08-21,21.2
2023-08-22,20.58
2023-08-23,21.73
2023-08-24,21.03
2023-08-25,20.42
2023-08-26,20.27
2023-08-27,20.79
2023-08-28,20.55
2023-08-29,21.79
2023-08-30,20.82
2023-08-31,19.72
2023-09-01,19.33
2023-09-02,19.49
2023-09-03,19.57
2023-09-04,19.52
2023-09-05,20.26
2023-09-06,19.64
2023-09-07,19.91
2023-09-08,19.61
2023-09-09,19.44
2023-09-10,18.23
2023-09-11,17.72
2023-09-12,17.92
2023-09-13,18.4
2023-09-14,18.86
2023-09-15,19.14
2023-09-16,19.13
2023-09-17,18.81
2023-09-18,19.66
2023-09-19,20.04
2023-09-20,20.3
2023-09-21,19.44
2023-09-22,19.41
2023-09-23,19.48
2023-09-24,19.35
2023-09-25,19.39
2023-09-26,19.01
2023-09-27,19.12
2023-09-28,19.98
2023-09-29,20.29
2023-09-30,21.37
2023-10-01,23.87
2023-10-02,23.39
2023-10-03,23.62
2023-10-04,23.14
2023-10-05,22.7
2023-10-06,23.45
2023-10-07,23.31
2023-10-08,23.24
2023-10-09,22.1
2023-10-10,22.11
2023-10-11,22.01
2023-10-12,21.27
2023-10-13,21.86
2023-10-14,22.0
2023-10-15,21.94
2023-10-16,23.97
2023-10-17,23.95
2023-10-18,23.42
2023-10-19,24.94
2023-10-20,27.05
2023-10-21,29.32
2023-10-22,29.05
2023-10-23,31.91
2023-10-24,30.18
2023-10-25,32.43
2023-10-26,32.78
2023-10-27,31.74
2023-10-28,31.65
2023-10-29,32.84
2023-10-30,34.95
2023-10-31,38.43
2023-11-01,41.18
2023-11-02,40.25
2023-11-03,39.45
2023-11-04,42.44
2023-11-05,41.2
2023-11-06,42.16
2023-11-07,42.95
2023-11-08,43.13
2023-11-09,45.3
2023-11-10,56.72
2023-11-11,56.35
2023-11-12,56.28
2023-11-13,51.6
2023-11-14,56.84
2023-11-15,65.48
2023-11-16,57.8
2023-11-17,58.55
2023-11-18,58.59
2023-11-19,61.15
2023-11-20,56.61
2023-11-21,51.65
2023-11-22,57.58
2023-11-23,56.52
2023-11-24,56.89
2023-11-25,58.83
2023-11-26,57.59
2023-11-27,55.07
2023-11-28,58.22
2023-11-29,59.3
2023-11-30,59.29
2023-12-01,59.77
2023-12-02,63.7
2023-12-03,63.01
2023-12-04,61.59
2023-12-05,61.03
2023-12-06,61.85
2023-12-07,67.77
2023-12-08,74.95
2023-12-09,72.24
2023-12-10,74.87
2023-12-11,70.22
2023-12-12,68.54
2023-12-13,70.62
2023-12-14,75.68
2023-12-15,72.52
2023-12-16,73.67
2023-12-17,70.79
2023-12-18,74.42
2023-12-19,73.01
2023-12-20,82.26
2023-12-21,93.89
2023-12-22,97.98
2023-12-23,107.94
2023-12-24,112.57
2023-12-25,120.95
2023-12-26,112.5
2023-12-27,106.95
2023-12-28,101.81
2023-12-29,106.18
2023-12-30,101.92
2023-12-31,101.69
2024-01-01,110.11
2024-01-02,106.74
2024-01-03,98.59
2024-01-04,105.01
2024-01-05,100.02
2024-01-06,93.84
2024-01-07,89.48
