timestamp,close
2026-05-20,77486.8
2026-05-21,77551.9
2026-05-22,75463.4
2026-05-23,76656.0
2026-05-24,76984.8
2026-05-25,77253.0
2026-05-26,75832.6
2026-05-27,74340.2
2026-05-28,73528.6
2026-05-29,73375.9
2026-05-30,73790.8
2026-05-31,73586.1
2026-06-01,71337.0
2026-06-02,66675.9
2026-06-03,64061.3
2026-06-04,63819.1
2026-06-05,61039.8
2026-06-06,60866.0
2026-06-07,63311.4
2026-06-08,63067.0
2026-06-09,61690.7
2026-06-10,61454.3
2026-06-11,63568.8
2026-06-12,63549.0
2026-06-13,64421.4
2026-06-14,65703.7
2026-06-15,66284.4
2026-06-16,65624.7
2026-06-17,64455.5
2026-06-18,62886.2
2026-06-19,63485.7
2026-06-20,63833.3
