timestamp,exchange,symbol,side,quantity,price,notional,fee_usdt,pnl_usdt,strategy,order_id,reason,paper_trade
2026-05-19T06:16:37.516976+00:00,Binance,ALGO/USDT:USDT,BUY,598.7,0.10759982,64.42,0.06442,-0.12415,claude_portfolio,15022122076,ghost_reconciled,False
2026-05-19T08:16:50.295489+00:00,Binance,AAVE/USDT:USDT,SELL,0.7,89.06,62.342,0.062342,0.0,claude_portfolio,25823176478,entry,False
2026-05-19T10:05:00.928806+00:00,Bitget,ARB/USDT:USDT,SELL,627.45,0.116,72.7842,0.072784,0.0,claude_portfolio,1440572215874166785,entry,False
2026-05-19T10:46:12.577873+00:00,binance,ETH/USDT:USDT,BUY,0.016,2109.14,33.7462,0.033746,0.387483,manual,MANUAL-binance-ETH/USDT:USDT-sell-1779182657,ghost_sync,False
2026-05-19T10:46:16.867752+00:00,binance,AAVE/USDT:USDT,BUY,0.7,88.15,61.705,0.061705,0.574976,manual,MANUAL-binance-AAVE/USDT:USDT-sell-1779182657,ghost_sync,False
2026-05-19T10:52:10.996440+00:00,Bybit,BNB/USDT:USDT,SELL,0.13,639.1,83.083,0.083083,0.0,claude_portfolio,7c71388b-2892-499a-b97d-883064462935,entry,False
2026-05-19T11:03:51.672746+00:00,Bybit,BNB/USDT:USDT,BUY,0.13,640.3,83.239,0.083239,-0.239161,claude_portfolio,7c71388b-2892-499a-b97d-883064462935,ghost_sync,False
2026-05-19T11:05:34.659168+00:00,Bitget,LINK/USDT:USDT,SELL,3.0,9.601,28.803,0.028803,0.0,claude_portfolio,1440587449238167553,entry,False
2026-05-19T11:16:44.416498+00:00,Bybit,ADA/USDT:USDT,SELL,243.0,0.2493,60.5799,0.06058,0.0,claude_portfolio,bca5ba0f-2213-42bb-9e60-9b37d1a7df7d,entry,False
2026-05-19T13:36:28.152448+00:00,Bitget,ARB/USDT:USDT,BUY,627.45,0.116,72.7842,0.072784,-0.072784,claude_portfolio,1440572215874166785,ghost_sync,False
2026-05-19T13:36:31.284800+00:00,Bitget,LINK/USDT:USDT,BUY,3.0,9.594,28.782,0.028782,-0.007794,claude_portfolio,1440587449238167553,ghost_sync,False
2026-05-19T13:43:02.186077+00:00,Bitget,ARB/USDT:USDT,SELL,629.46,0.1156,72.7656,0.072766,0.0,claude_portfolio,1440627075478855694,entry,False
2026-05-19T13:57:10.298944+00:00,binance,ETH/USDT:USDT,BUY,0.016,2118.29,33.8926,0.033893,0.24101,reconcile,RECONCILE-binance-ETH/USDT:USDT-sell-1779187647,ghost_sync,False
2026-05-19T13:57:14.737041+00:00,binance,AAVE/USDT:USDT,BUY,0.7,88.52,61.964,0.061964,0.315847,reconcile,RECONCILE-binance-AAVE/USDT:USDT-sell-1779187647,ghost_sync,False
2026-05-19T14:31:17.545044+00:00,Bitget,AVAX/USDT:USDT,SELL,3.8,9.073,34.4774,0.034477,0.0,claude_portfolio,1440639213765271554,entry,False
2026-05-19T15:04:53.667466+00:00,Bitget,ARB/USDT:USDT,BUY,629.46,0.1154,72.6397,0.07264,0.053189,claude_portfolio,1440627075478855694,ghost_sync,False
2026-05-19T15:10:33.379361+00:00,Bitget,DOT/USDT:USDT,SELL,29.0,1.225,35.525,0.035525,0.0,claude_portfolio,1440649100700295169,entry,False
2026-05-19T18:39:59.377504+00:00,binance,ETH/USDT:USDT,BUY,0.016,2114.89,33.8382,0.033838,0.295437,reconcile,RECONCILE-binance-ETH/USDT:USDT-sell-1779199077,ghost_reconciled,False
2026-05-19T18:40:03.642744+00:00,binance,AAVE/USDT:USDT,BUY,0.7,88.97714286,62.284,0.062284,-0.004313,reconcile,RECONCILE-binance-AAVE/USDT:USDT-sell-1779199077,ghost_reconciled,False
2026-05-19T18:48:24.030181+00:00,Binance,ARB/USDT:USDT,SELL,1571.3,0.1147,180.2281,0.180228,0.0,claude_portfolio,15655723603,entry,False
2026-05-19T18:51:25.633282+00:00,Binance,ARB/USDT:USDT,BUY,1571.3,0.1147,180.2281,0.180228,-0.180228,claude_portfolio,15655723603,ghost_sync,False
2026-05-19T18:55:29.023418+00:00,Binance,ARB/USDT:USDT,SELL,1572.8,0.1143,179.771,0.179771,0.0,claude_portfolio,15655767628,entry,False
